seed,strategy,N,k0,chosen_template,E11_rotation,E12_rotation,qualified_pair,E11_time_per_source_s,E12_time_per_source_s,delta_time_per_source_s,delta_total_virtual_s,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,E11_movement_s,E12_movement_s,delta_movement_s,E11_measurement_s,E12_measurement_s,delta_measurement_s,E11_switch_s,E12_switch_s,delta_switch_s,E11_clear_success_s,E12_clear_success_s,delta_clear_success_s,E11_clear_failure_s,E12_clear_failure_s,delta_clear_failure_s
27182920,T2,12,5,7,20,5,True,280.47820575,327.04401633333333,46.56581058333336,558.7897270000003,2623.948634453269,5,9,0,0,2573.7384689962114,3098.528195886866,524.7897268906545,620.0,645.0,25.0,112.0,121.0,9.0,60.0,60.0,0.0,0.0,0.0,0.0
27182885,T2,12,5,7,35,40,True,277.64484608333333,321.50832833333334,43.863482250000004,526.3617870000003,2066.8089362030187,16,18,5,5,2587.7381525144224,3001.0999397550263,413.3617872406039,580.0,660.0,80.0,104.0,122.0,18.0,60.0,60.0,0.0,0.0,15.0,15.0
27182848,T2,10,2,7,45,45,True,294.73800489999996,338.1860598,43.448054900000045,434.48054900000034,1712.4027447818971,13,18,3,3,2146.3800492325167,2488.8605981888954,342.4805489563787,635.0,700.0,65.0,113.0,131.0,18.0,50.0,50.0,0.0,3.0,12.0,9.0
27182877,T2,11,5,7,35,15,True,315.6266984545454,352.86266627272727,37.23596781818185,409.5956460000002,1652.9782279391256,13,11,1,1,2662.8936834610486,2993.489329048875,330.5956455878263,635.0,700.0,65.0,116.0,127.0,11.0,55.0,55.0,0.0,3.0,6.0,3.0
27182949,T2,13,7,7,10,30,True,263.59154607692307,300.257293,36.66574692307694,476.65471000000025,2058.2735520655897,12,8,-1,-1,2695.6900990460535,3107.3448094591713,411.65471041311775,560.0,620.0,60.0,100.0,108.0,8.0,65.0,65.0,0.0,6.0,3.0,-3.0
27182919,T2,11,8,7,30,45,True,270.0137587272727,304.534834,34.52107527272727,379.73182799999995,1608.6591400509078,9,13,0,0,2207.1513464256577,2528.883174435841,321.7318280101831,595.0,640.0,45.0,110.0,123.0,13.0,55.0,55.0,0.0,3.0,3.0,0.0
27182971,T2,14,7,7,40,15,True,240.31018557142858,274.2703267142857,33.96014114285714,475.4419759999996,1942.2098823992637,13,22,0,0,2607.342597574403,2995.7845740542575,388.4419764798545,590.0,655.0,65.0,97.0,119.0,22.0,70.0,70.0,0.0,0.0,0.0,0.0
27182914,T2,13,4,7,10,0,True,262.44793623076924,295.36373515384616,32.91579892307692,427.9053859999999,1814.5269300898162,11,10,0,0,2663.8231714095014,3026.728557427463,362.9053860179615,575.0,630.0,55.0,102.0,112.0,10.0,65.0,65.0,0.0,6.0,6.0,0.0
27182937,T2,15,6,7,0,15,True,230.5861888,259.7581092,29.171920399999976,437.578806,1842.8940313143303,11,11,1,1,2726.792832028374,3095.3716382912407,368.5788062628667,555.0,610.0,55.0,99.0,110.0,11.0,75.0,75.0,0.0,3.0,6.0,3.0
27182858,T2,13,6,7,30,40,True,246.26935261538463,274.4539347692308,28.18458215384615,366.3995679999998,1496.997840430593,10,20,-1,-1,2456.501583770823,2755.901151856942,299.39956808611896,575.0,625.0,50.0,90.0,110.0,20.0,65.0,65.0,0.0,15.0,12.0,-3.0
27182920,T4,12,5,7,20,5,True,280.47820575,327.04401633333333,46.56581058333336,558.7897270000003,2623.948634453269,5,9,0,0,2573.7384689962114,3098.528195886866,524.7897268906545,620.0,645.0,25.0,112.0,121.0,9.0,60.0,60.0,0.0,0.0,0.0,0.0
27182885,T4,12,5,7,35,40,True,277.64484608333333,321.50832833333334,43.863482250000004,526.3617870000003,2066.8089362030187,16,18,5,5,2587.7381525144224,3001.0999397550263,413.3617872406039,580.0,660.0,80.0,104.0,122.0,18.0,60.0,60.0,0.0,0.0,15.0,15.0
27182877,T4,11,5,7,35,15,True,315.6266984545454,352.86266627272727,37.23596781818185,409.5956460000002,1652.9782279391256,13,11,1,1,2662.8936834610486,2993.489329048875,330.5956455878263,635.0,700.0,65.0,116.0,127.0,11.0,55.0,55.0,0.0,3.0,6.0,3.0
27182949,T4,13,7,7,10,30,True,263.59154607692307,300.257293,36.66574692307694,476.65471000000025,2058.2735520655897,12,8,-1,-1,2695.6900990460535,3107.3448094591713,411.65471041311775,560.0,620.0,60.0,100.0,108.0,8.0,65.0,65.0,0.0,6.0,3.0,-3.0
27182919,T4,11,8,7,30,45,True,270.0137587272727,304.534834,34.52107527272727,379.73182799999995,1608.6591400509078,9,13,0,0,2207.1513464256577,2528.883174435841,321.7318280101831,595.0,640.0,45.0,110.0,123.0,13.0,55.0,55.0,0.0,3.0,3.0,0.0
27182971,T4,14,7,7,40,15,True,240.31018557142858,274.2703267142857,33.96014114285714,475.4419759999996,1942.2098823992637,13,22,0,0,2607.342597574403,2995.7845740542575,388.4419764798545,590.0,655.0,65.0,97.0,119.0,22.0,70.0,70.0,0.0,0.0,0.0,0.0
27182914,T4,13,4,7,10,0,True,262.44793623076924,295.36373515384616,32.91579892307692,427.9053859999999,1814.5269300898162,11,10,0,0,2663.8231714095014,3026.728557427463,362.9053860179615,575.0,630.0,55.0,102.0,112.0,10.0,65.0,65.0,0.0,6.0,6.0,0.0
27182937,T4,15,6,7,0,15,True,230.5861888,259.7581092,29.171920399999976,437.578806,1842.8940313143303,11,11,1,1,2726.792832028374,3095.3716382912407,368.5788062628667,555.0,610.0,55.0,99.0,110.0,11.0,75.0,75.0,0.0,3.0,6.0,3.0
27182858,T4,13,6,7,30,40,True,246.26935261538463,274.4539347692308,28.18458215384615,366.3995679999998,1496.997840430593,10,20,-1,-1,2456.501583770823,2755.901151856942,299.39956808611896,575.0,625.0,50.0,90.0,110.0,20.0,65.0,65.0,0.0,15.0,12.0,-3.0
27182823,T4,13,10,7,55,20,True,225.2881826153846,253.2075192307692,27.919336615384594,362.951376,1499.7568787932905,10,10,1,1,2238.7463743468666,2538.6977501055253,299.95137575865874,530.0,580.0,50.0,95.0,105.0,10.0,65.0,65.0,0.0,0.0,3.0,3.0
27182949,T6,13,7,7,10,30,True,263.59154607692307,300.257293,36.66574692307694,476.65471000000025,2058.2735520655897,12,8,-1,-1,2695.6900990460535,3107.3448094591713,411.65471041311775,560.0,620.0,60.0,100.0,108.0,8.0,65.0,65.0,0.0,6.0,3.0,-3.0
27182919,T6,11,8,7,30,45,True,270.0137587272727,304.534834,34.52107527272727,379.73182799999995,1608.6591400509078,9,13,0,0,2207.1513464256577,2528.883174435841,321.7318280101831,595.0,640.0,45.0,110.0,123.0,13.0,55.0,55.0,0.0,3.0,3.0,0.0
27182971,T6,14,7,7,40,15,True,240.31018557142858,274.2703267142857,33.96014114285714,475.4419759999996,1942.2098823992637,13,22,0,0,2607.342597574403,2995.7845740542575,388.4419764798545,590.0,655.0,65.0,97.0,119.0,22.0,70.0,70.0,0.0,0.0,0.0,0.0
27182937,T6,15,6,7,0,15,True,230.5861888,259.7581092,29.171920399999976,437.578806,1842.8940313143303,11,11,1,1,2726.792832028374,3095.3716382912407,368.5788062628667,555.0,610.0,55.0,99.0,110.0,11.0,75.0,75.0,0.0,3.0,6.0,3.0
27182858,T6,13,6,7,30,40,True,246.26935261538463,274.4539347692308,28.18458215384615,366.3995679999998,1496.997840430593,10,20,-1,-1,2456.501583770823,2755.901151856942,299.39956808611896,575.0,625.0,50.0,90.0,110.0,20.0,65.0,65.0,0.0,15.0,12.0,-3.0
27182823,T6,13,10,7,55,20,True,225.2881826153846,253.2075192307692,27.919336615384594,362.951376,1499.7568787932905,10,10,1,1,2238.7463743468666,2538.6977501055253,299.95137575865874,530.0,580.0,50.0,95.0,105.0,10.0,65.0,65.0,0.0,0.0,3.0,3.0
27182955,T6,12,7,7,45,25,True,241.92054399999998,267.87787175,25.95732775000002,311.48793300000034,1177.4396658208134,15,16,-5,-5,2150.046527967779,2385.534461131942,235.48793316416277,570.0,645.0,75.0,105.0,121.0,16.0,60.0,60.0,0.0,18.0,3.0,-15.0
27182969,T6,12,6,7,40,10,True,285.3361259166667,310.978749,25.64262308333332,307.71147699999983,693.5573834873394,31,29,-5,-5,2658.033511409599,2796.744988107066,138.71147669746688,580.0,735.0,155.0,108.0,137.0,29.0,60.0,60.0,0.0,18.0,3.0,-15.0
27182826,T6,16,7,7,25,20,True,225.5681108125,247.202603125,21.634492312499987,346.1518769999998,1675.7593875253715,0,5,2,2,2816.0897727458537,3151.2416502509286,335.15187750507494,610.0,610.0,0.0,103.0,108.0,5.0,80.0,80.0,0.0,0.0,6.0,6.0
27182991,T6,13,6,7,0,50,True,245.72864323076922,266.4482116153846,20.71956838461537,269.3543890000001,666.7719439886932,23,24,-1,-1,2487.472361893993,2620.8267506917314,133.35438879773847,545.0,660.0,115.0,94.0,118.0,24.0,65.0,65.0,0.0,3.0,0.0,-3.0
