dimension,value,strategy,runs,sources,all_cleared,qualified,failed_runs,performance_population,performance_runs,weighted_time_per_source_s,mean_time_per_source_s,median,P90,P95,P99,max,CVaR95,tail_count,mean_movement_m,mean_measurements,mean_switches,mean_clear_failures
N,10,E11,28,280,True,True,0,qualified_runs_only,28,316.27109403928574,316.2710940392857,319.18067075,352.02534734,356.97606183,363.942387361,365.96988369999997,362.21526085,2,12039.62613092586,118.17857142857143,110.03571428571429,1.2857142857142858
N,11,E11,29,319,True,True,0,qualified_runs_only,29,297.5024386018809,297.5024386018809,299.64768363636364,325.0963028181818,334.2469979090909,343.7051268690909,345.7918191818182,342.06558290909095,2,12529.53067536965,119.37931034482759,110.27586206896552,1.4827586206896552
N,12,E11,29,348,True,True,0,qualified_runs_only,29,273.1137747270115,273.1137747270115,276.89131308333333,313.58798726666663,320.9077036333333,338.52095084,344.37258775000004,333.923236125,2,12557.171311075359,118.48275862068965,108.65517241379311,1.6206896551724137
N,13,E11,29,377,True,True,0,qualified_runs_only,29,267.3907471087533,267.3907471087533,263.8577963076923,296.3999967076923,312.3406760153846,323.45469415692304,325.4840998461538,321.8601611153846,2,13555.226148429332,117.62068965517241,106.03448275862068,1.9655172413793103
N,14,E11,29,406,True,True,0,qualified_runs_only,29,256.2820431009852,256.2820431009852,255.73694821428572,284.51835187142854,290.89820084285714,298.5085516085714,301.2950259285714,296.31917892857143,2,14176.81198223852,115.17241379310344,103.3103448275862,1.1379310344827587
N,15,E11,28,420,True,True,0,qualified_runs_only,28,242.15664535714285,242.15664535714285,240.50708236666668,264.8162173,270.57821336,279.1799802346667,281.72342206666667,277.0133446,2,14356.391258607553,115.5,103.85714285714286,1.5714285714285714
N,16,E11,28,448,True,True,0,qualified_runs_only,28,221.3086961919643,221.3086961919643,225.06192015624998,241.54551603125,243.10571682187498,252.90076716500002,256.2743508125,250.0269736875,2,14085.05283833495,108.71428571428571,95.96428571428571,1.4642857142857142
N,10,T2,28,280,True,True,0,qualified_runs_only,28,313.4729630035714,313.4729630035714,315.1882021,338.57926368,340.48736559499997,341.238227574,341.3186535,341.1697166,2,11422.219578554088,134.71428571428572,124.03571428571429,0.8928571428571429
N,11,T2,29,319,True,True,0,qualified_runs_only,29,297.2227227523511,297.2227227523511,299.97562527272726,329.87961623636363,343.33688136363634,350.88282908727274,352.86266627272727,349.32724272727273,2,12198.284234575674,130.41379310344828,120.13793103448276,0.8620689655172413
N,12,T2,29,348,True,True,0,qualified_runs_only,29,276.3245632126437,276.3245632126437,273.68484666666666,321.69219075,325.13512726666664,327.01492494,327.04401633333333,326.99206741666666,2,12428.784137604258,129.51724137931035,118.82758620689656,1.2413793103448276
N,13,T2,29,377,True,True,0,qualified_runs_only,29,268.1559266578249,268.1559266578249,260.2230846153846,298.4006310307692,302.96759513846155,305.66014436923075,306.0045759230769,305.3895195769231,2,13225.13523235627,130.51724137931035,117.41379310344827,2
N,14,T2,29,406,True,True,0,qualified_runs_only,29,249.2023819778325,249.20238197783252,251.40866664285713,274.2939294428571,275.74529281428573,280.9672694428571,282.6462356428571,279.6480817142857,2,13381.235703908467,125.41379310344827,112.41379310344827,1.0344827586206897
N,15,T2,28,420,True,True,0,qualified_runs_only,28,243.37387736190476,243.37387736190476,244.25900946666667,268.99091304666666,274.93092791000004,281.8790909526667,283.48726446666666,280.5091653666667,2,14154.46937355749,125.21428571428571,112.85714285714286,1.9285714285714286
N,16,T2,28,448,True,True,0,qualified_runs_only,28,219.17912564732143,219.17912564732143,224.38876771875,248.05313089375,252.74629943437498,256.989145150625,258.0189794375,256.11187890625,2,13731.115765763074,114.67857142857143,100.17857142857143,2.357142857142857
N,10,T4,28,280,True,True,0,qualified_runs_only,28,314.3620994607143,314.36209946071426,314.72170655,341.11014184,347.666917825,361.951022881,365.96988369999997,358.52754885,2,11583.640687444147,130.67857142857142,120.28571428571429,1.0714285714285714
N,11,T4,29,319,True,True,0,qualified_runs_only,29,297.59870361442006,297.59870361442006,299.97562527272726,338.60237223636364,343.33688136363634,350.88282908727274,352.86266627272727,349.32724272727273,2,12224.997664654113,130.24137931034483,119.89655172413794,0.8275862068965517
N,12,T4,29,348,True,True,0,qualified_runs_only,29,274.92135641091954,274.92135641091954,278.83947608333335,314.47796646666666,322.0599155833333,325.7514310766667,327.04401633333333,324.735828375,2,12378.557246846885,128.27586206896552,117.82758620689656,1.3793103448275863
N,13,T4,29,377,True,True,0,qualified_runs_only,29,268.22154528912466,268.22154528912466,260.2230846153846,298.4006310307692,302.96759513846155,305.66014436923075,306.0045759230769,305.3895195769231,2,13244.0556157633,130.0344827586207,117,1.9655172413793103
N,14,T4,29,406,True,True,0,qualified_runs_only,29,249.13882144827588,249.13882144827588,251.40866664285713,272.89013334285715,275.69808735714287,280.9672694428571,282.6462356428571,279.6480817142857,2,13375.407156476966,125.44827586206897,112.62068965517241,1
N,15,T4,28,420,True,True,0,qualified_runs_only,28,242.97444888571428,242.97444888571428,244.25900946666667,268.99091304666666,271.53285847333336,276.1195605006667,277.5310662666667,274.91716670000005,2,14126.83366643069,125.10714285714286,112.92857142857143,1.9285714285714286
